Info 0    [15:50:23.307] Starting TS Server
Info 1    [15:50:23.308] Version: 4.7.4
Info 2    [15:50:23.308] Arguments: /usr/bin/node /home/bv/node_modules/typescript/lib/tsserver.js --logFile /home/bv/prog/mokuro2jpdb/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/95d6634208d13c50cf3c86372bd1921f/tscancellation*
Info 3    [15:50:23.308] Platform: linux NodeVersion: 19 CaseSensitive: true
Info 4    [15:50:23.308] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [15:50:23.322] Format host information updated
Info 6    [15:50:23.997] Search path: /home/bv/prog/mokuro2jpdb
Info 7    [15:50:23.998] For info: /home/bv/prog/mokuro2jpdb/index.js :: No config files found.
Info 8    [15:50:24.003] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [15:50:24.815] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 811.4978400003165ms
Info 10   [15:50:24.815] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [15:50:24.815] 	Files (21)

Info 12   [15:50:24.815] -----------------------------------------------
Info 13   [16:08:55.114] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [16:08:55.124] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 9.14181099832058ms
Info 15   [16:08:55.124] Different program with same set of files
Info 16   [16:08:55.773] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [16:08:55.787] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 14.538933001458645ms
Info 18   [16:08:55.787] Different program with same set of files
Info 19   [16:08:56.290] Format host information updated
Info 20   [16:08:56.385] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [16:08:56.397] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 11.229634001851082ms
Info 22   [16:08:56.397] Different program with same set of files
Info 23   [16:09:01.152] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [16:09:01.158] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 5.925129998475313ms
Info 25   [16:09:01.158] Different program with same set of files
Info 26   [16:09:01.319] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [16:09:01.328] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 8.981206998229027ms
Info 28   [16:09:01.328] Different program with same set of files
Info 29   [16:09:01.461] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [16:09:01.464] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 3.4906559996306896ms
Info 31   [16:09:01.464] Different program with same set of files
